cerdo		1/4 de cordero lechal al vacío EROSKI, bandeja al peso aprox. 1.6 kg
chocolates		100% Albúmina de Clara de Huevo - Chocolate (Prozis)
galletas		100% Albúmina de Clara de Huevo - Galletas y crema (Prozis)
huevo		100% Albúmina de Clara de Huevo - Neutro (Prozis)
frutas		100% Azúcar de coco Coconut Sugar Powder (Food Series)
dulces		100% Hydro Beef Protein - Cacahuete y Caramelo (Prozis)
chocolates		100% Hydro Beef Protein - Chocolate (Prozis)
bebidas	bebida	100% Pechuga de pollo prémium - al natural - Agua Pechuga de pollo (Prozis)
pavo		100% Pechuga de pollo prémium - al natural - Marinado Pechuga de pavo (Prozis)
salsas		100% Pechuga de pollo prémium - al natural - Salsa de tomate Pechuga de pollo (Prozis)
proteina		100% Proteína de Arroz - Chocolate y avellanas (Prozis)
proteina		100% Proteína de Arroz - Neutro (Prozis)
proteina		100% Proteína de Cáñamo - Neutro (Prozis)
proteina		100% Proteína de guisante - Chocolate (Prozis)
proteina		100% Proteína de guisante - Neutro (Prozis)
proteina		100% Proteína de soja - Chocolate (Prozis)
proteina		100% Proteína de soja - Galletas y crema (Prozis)
proteina		100% Proteína de soja - Neutro (Prozis)
proteina		100% Proteína de suero hidrolizado aislada + saborizantes - mix pack (HSN Packs)
proteina		100% Proteína de suero hidrolizado aislada Hydro 90 Whey Isolate (Raw Series)
proteina		100% Real Casein - Chocolate (Prozis)
proteina		100% Real Casein - Chocolate blanco (Prozis)
suplementos		100% Real Hydration: Electrolitos en Polvo - Fresa (Prozis)
suplementos		100% Real Hydration: Electrolitos en Polvo - Lima-Limón (Prozis)
suplementos		100% Real Hydration: Electrolitos en Polvo - Manzana verde (Prozis)
suplementos		100% Real Hydration: Electrolitos en Polvo - Tropical (Prozis)
proteina		100% Real Whey Isolate - Barquillo de chocolate (Prozis)
proteina		100% Real Whey Isolate - Barquillo de fresa (Prozis)
proteina		100% Real Whey Isolate - Capuchino (Prozis)
proteina		100% Real Whey Isolate - Capuchino 2 x (Prozis)
proteina		100% Real Whey Isolate - Caramelo salado (Prozis)
proteina		100% Real Whey Isolate - Chocolate (Prozis)
proteina		100% Real Whey Isolate - Chocolate 2 x (Prozis)
proteina		100% Real Whey Isolate - Chocolate y Crema de Cacahuete (Prozis)
proteina		100% Real Whey Isolate - Chocolate y avellanas (Prozis)
proteina		100% Real Whey Isolate - Doble chocolate (Prozis)
proteina		100% Real Whey Isolate - Fresa (Prozis)
proteina		100% Real Whey Isolate - Fresa y Plátano (Prozis)
proteina		100% Real Whey Isolate - Mango (Prozis)
proteina		100% Real Whey Isolate - Mango 2 x (Prozis)
proteina		100% Real Whey Isolate - Mojito (Prozis)
proteina		100% Real Whey Isolate - Tarta de cumpleaños (Prozis)
proteina		100% Real Whey Isolate - Vainilla (Prozis)
proteina		100% Real Whey Protein - Brownie de chocolate 3 x (Prozis)
proteina		100% Real Whey Protein - Café y Caramelo (Prozis)
proteina		100% Real Whey Protein - Café y Caramelo 3 x (Prozis)
proteina		100% Real Whey Protein - Chocolate belga (Prozis)
proteina		100% Real Whey Protein - Chocolate belga 3 x (Prozis)
proteina		100% Real Whey Protein - Chocolate blanco (Prozis)
proteina		100% Real Whey Protein - Chocolate blanco 3 x (Prozis)
proteina		100% Real Whey Protein - Chocolate negro (Prozis)
proteina		100% Real Whey Protein - Chocolate y avellanas 3 x (Prozis)
proteina		100% Real Whey Protein - Chocolate y caramelo (Prozis)
proteina		100% Real Whey Protein - Fresa (Prozis)
proteina		100% Real Whey Protein - Fresa y Plátano (Prozis)
proteina		100% Real Whey Protein - Galletas y crema 3 x (Prozis)
proteina		100% Real Whey Protein - Mango (Prozis)
proteina		100% Real Whey Protein - Mango y Melocotón (Prozis)
proteina		100% Real Whey Protein - Neutro 3 x (Prozis)
proteina		100% Real Whey Protein - Plátano (Prozis)
proteina		100% Real Whey Protein - Stracciatella (Prozis)
proteina		100% Real Whey Protein - Vainilla 3 x (Prozis)
proteina		100% Vegan Mass Gainer - Bombón de chocolate (Prozis)
proteina		100% Vegan Mass Gainer - Fresa y Plátano (Prozis)
proteina		100% Vegan Protein - Caramelo salado (Prozis)
proteina		100% Vegan Protein - Chocolate (Prozis)
proteina		100% Vegan Protein - Neutro (Prozis)
proteina		100% Vegan Protein - Speculoos (Prozis)
proteina		100% Whey Hydro Isolate - Chocolate (Prozis)
proteina		100% Whey Hydro Isolate - Chocolate blanco (Prozis)
proteina		100% Whey Hydro Isolate - Fresa (Prozis)
proteina		100% Whey Hydro Isolate - Galletas y crema (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Barquillo de fresa (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Barquillo de fresa 2 x (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Barquillo de vainilla (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Barquillo de vainilla 2 x (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Brownie de chocolate (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Caramelo salado 2 x (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Chocolate (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Chocolate y avellanas (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Fresa (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Galletas y crema (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Mango (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Mango 2 x (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Speculoos (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Speculoos 2 x (Prozis)
proteina		100% Whey Hydro Isolate - ULTIMATE SERIES - Vainilla (Prozis)
